comparison_label,source,scored_set,min_donors_required,n_genes_in_set,n_pass_70,frac_pass_70,n_donors_min,n_donors_median,n_donors_max,n_ci_excludes_zero,gate_pass,n_published_total,n_published_below_floor
LUAD → LUSC,luad,unfiltered_top50,10,50,47,0.94,1,1.0,18,46,True,,
LUAD → LUSC,luad,donor_supported_top50,10,50,41,0.82,10,17.5,19,41,True,,
LUAD → LUSC,luad,published_leading_evaluable,10,15,14,0.9333333333333333,12,17.0,19,0,True,15.0,0.0
LUAD → NORMAL,luad,unfiltered_top50,10,50,47,0.94,1,1.0,7,47,True,,
LUAD → NORMAL,luad,donor_supported_top50,10,50,48,0.96,10,15.0,19,47,True,,
LUAD → NORMAL,luad,published_leading_evaluable,10,15,14,0.9333333333333333,12,16.0,19,0,True,15.0,0.0
LUSC → LUAD,lusc,unfiltered_top50,3,50,49,0.98,1,1.0,4,49,True,,
LUSC → LUAD,lusc,donor_supported_top50,3,50,35,0.7,3,3.0,5,34,True,,
LUSC → LUAD,lusc,published_leading_evaluable,3,14,13,0.9285714285714286,3,3.0,4,0,True,15.0,1.0
LUSC → NORMAL,lusc,unfiltered_top50,3,50,48,0.96,1,1.0,4,48,True,,
LUSC → NORMAL,lusc,donor_supported_top50,3,50,36,0.72,3,3.0,5,35,True,,
LUSC → NORMAL,lusc,published_leading_evaluable,3,15,12,0.8,3,4.0,5,0,True,15.0,0.0
NORMAL → LUAD,normal,unfiltered_top50,6,50,50,1.0,1,2.0,12,50,True,,
NORMAL → LUAD,normal,donor_supported_top50,6,50,48,0.96,6,7.5,12,46,True,,
NORMAL → LUAD,normal,published_leading_evaluable,6,15,15,1.0,6,9.0,12,0,True,15.0,0.0
NORMAL → LUSC,normal,unfiltered_top50,6,50,44,0.88,1,2.0,12,44,True,,
NORMAL → LUSC,normal,donor_supported_top50,6,50,46,0.92,6,7.0,12,41,True,,
NORMAL → LUSC,normal,published_leading_evaluable,6,15,14,0.9333333333333333,6,11.0,12,0,True,15.0,0.0
